index,id,release_date,production_budget,worldwide_gross,genre_ids
#Horror,16,2015,1500000,0,Drama
#Horror,16,2015,1500000,0,Mystery
#Horror,16,2015,1500000,0,Horror
#Horror,16,2015,1500000,0,Thriller
10 Cloverfield Lane,54,2016,5000000,108286422,Thriller
10 Cloverfield Lane,54,2016,5000000,108286422,Science Fiction
10 Cloverfield Lane,54,2016,5000000,108286422,Drama
10 Days in a Madhouse,48,2015,12000000,14616,Drama
12 Strong,64,2018,35000000,71118378,War
12 Strong,64,2018,35000000,71118378,Drama
12 Strong,64,2018,35000000,71118378,History
12 Strong,64,2018,35000000,71118378,Action
12 Years a Slave,18,2013,20000000,181025343,Drama
12 Years a Slave,18,2013,20000000,181025343,History
127 Hours,6,2010,18000000,60217171,Adventure
127 Hours,6,2010,18000000,60217171,Drama
127 Hours,6,2010,18000000,60217171,Thriller
13 Hours: The Secret Soldiers of Benghazi,30,2016,50000000,69411370,Action
13 Hours: The Secret Soldiers of Benghazi,30,2016,50000000,69411370,Drama
13 Hours: The Secret Soldiers of Benghazi,30,2016,50000000,69411370,History
13 Hours: The Secret Soldiers of Benghazi,30,2016,50000000,69411370,Thriller
13 Hours: The Secret Soldiers of Benghazi,30,2016,50000000,69411370,War
13 Sins,51,2014,4000000,47552,Horror
13 Sins,51,2014,4000000,47552,Thriller
1941,4,1979,32000000,94875000,Comedy
1982,23,2016,1000000,0,Drama
2 Guns,39,2013,61000000,132493015,Action
2 Guns,39,2013,61000000,132493015,Comedy
2 Guns,39,2013,61000000,132493015,Crime
2001: A Space Odyssey,27,1968,10500000,71928046,Science Fiction
2001: A Space Odyssey,27,1968,10500000,71928046,Mystery
2001: A Space Odyssey,27,1968,10500000,71928046,Adventure
2012,59,2009,200000000,757677748,Documentary
21 Jump Street,44,2012,42000000,202812429,Action
21 Jump Street,44,2012,42000000,202812429,Comedy
21 Jump Street,44,2012,42000000,202812429,Crime
22 Jump Street,85,2014,50000000,331333876,Crime
22 Jump Street,85,2014,50000000,331333876,Comedy
22 Jump Street,85,2014,50000000,331333876,Action
23 Blast,64,2014,1000000,549185,Drama
3,85,2011,7200000,295492,Horror
3,85,2011,7200000,295492,Mystery
3,85,2011,7200000,295492,Thriller
3 Backyards,51,2011,300000,39475,Drama
3 Days to Kill,64,2014,28000000,38959900,Action
3 Days to Kill,64,2014,28000000,38959900,Drama
3 Days to Kill,64,2014,28000000,38959900,Thriller
3 Days to Kill,64,2014,28000000,38959900,Crime
30 Minutes or Less,60,2011,28000000,40966716,Action
30 Minutes or Less,60,2011,28000000,40966716,Adventure
30 Minutes or Less,60,2011,28000000,40966716,Comedy
300: Rise of an Empire,26,2014,110000000,330780051,Action
300: Rise of an Empire,26,2014,110000000,330780051,War
300: Rise of an Empire,26,2014,110000000,330780051,Fantasy
31,85,2016,1500000,922727,Horror
31,85,2016,1500000,922727,Thriller
31,85,2016,1500000,922727,Mystery
42,22,2013,31000000,97470701,Drama
47 Ronin,12,2013,175000000,151716815,Drama
47 Ronin,12,2013,175000000,151716815,Action
47 Ronin,12,2013,175000000,151716815,Adventure
47 Ronin,12,2013,175000000,151716815,Fantasy
5 Days of War,47,2011,12000000,87793,War
5 Days of War,47,2011,12000000,87793,Drama
50 to 1,93,2014,10000000,1069454,Comedy
50 to 1,93,2014,10000000,1069454,Drama
50/50,73,2011,8000000,41334735,Comedy
50/50,73,2011,8000000,41334735,Drama
8 Days,48,2015,2500000,0,Thriller
8 Days,48,2015,2500000,0,Drama
8: The Mormon Proposition,38,2010,2500000,100280,Documentary
90 Minutes in Heaven,38,2015,5000000,4816142,Drama
A Bad Moms Christmas,40,2017,28000000,127710550,Comedy
A Bad Moms Christmas,40,2017,28000000,127710550,Comedy
A Better Life,84,2011,10000000,1884251,Drama
A Better Life,84,2011,10000000,1884251,Documentary
A Dangerous Method,69,2011,20000000,14807531,Drama
A Dangerous Method,69,2011,20000000,14807531,Thriller
A Few Best Men,55,2015,15000000,17224539,Comedy
A Ghost Story,86,2017,100000,2769782,Drama
A Ghost Story,86,2017,100000,2769782,Fantasy
A Ghost Story,86,2017,100000,2769782,Romance
A Good Day to Die Hard,34,2013,92000000,304249198,Action
A Good Day to Die Hard,34,2013,92000000,304249198,Thriller
A Haunted House,12,2013,2500000,59922558,Comedy
A Haunted House,12,2013,2500000,59922558,Horror
A Haunted House 2,89,2014,4000000,21206861,Comedy
A Haunted House 2,89,2014,4000000,21206861,Horror
A Hologram for the King,47,2016,35000000,11846010,Comedy
A Hologram for the King,47,2016,35000000,11846010,Drama
A Little Bit of Heaven,39,2012,12500000,1100287,Comedy
A Little Bit of Heaven,39,2012,12500000,1100287,Drama
A Little Bit of Heaven,39,2012,12500000,1100287,Romance
A Lonely Place to Die,56,2012,4000000,442550,Adventure
A Lonely Place to Die,56,2012,4000000,442550,Action
A Lonely Place to Die,56,2012,4000000,442550,Thriller
A Lonely Place to Die,56,2012,4000000,442550,Crime
A Monster Calls,41,2017,43000000,46414530,Drama
A Monster Calls,41,2017,43000000,46414530,Fantasy
A Monster Calls,41,2017,43000000,46414530,Drama
A Monster Calls,41,2017,43000000,46414530,Fantasy
A Most Violent Year,68,2014,20000000,8846875,Crime
A Most Violent Year,68,2014,20000000,8846875,Drama
A Most Violent Year,68,2014,20000000,8846875,Thriller
A Most Violent Year,68,2014,20000000,8846875,Crime
A Most Violent Year,68,2014,20000000,8846875,Drama
A Most Violent Year,68,2014,20000000,8846875,Thriller
A Most Wanted Man,76,2014,15000000,36068890,Thriller
A Nightmare on Elm Street,49,2010,35000000,117729621,Horror
A Nightmare on Elm Street,49,2010,35000000,117729621,Mystery
A Nightmare on Elm Street,49,2010,35000000,117729621,Thriller
A Nightmare on Elm Street,17,1984,1800000,25504513,Horror
A Nightmare on Elm Street,17,1984,1800000,25504513,Mystery
A Nightmare on Elm Street,17,1984,1800000,25504513,Thriller
A Quiet Place,66,2018,17000000,334522294,Drama
A Quiet Place,66,2018,17000000,334522294,Horror
A Quiet Place,66,2018,17000000,334522294,Thriller
A Quiet Place,66,2018,17000000,334522294,Science Fiction
A Shine of Rainbows,93,2011,6000000,0,Drama
A Shine of Rainbows,93,2011,6000000,0,Family
A Simple Favor,24,2018,20000000,97628717,Thriller
A Simple Favor,24,2018,20000000,97628717,Crime
A Simple Favor,24,2018,20000000,97628717,Mystery
A Simple Favor,24,2018,20000000,97628717,Comedy
A Simple Favor,24,2018,20000000,97628717,Drama
A Street Cat Named Bob,31,2016,8000000,17382693,Drama
A Street Cat Named Bob,31,2016,8000000,17382693,Family
A Street Cat Named Bob,31,2016,8000000,17382693,Comedy
A Street Cat Named Bob,31,2016,8000000,17382693,Drama
A Street Cat Named Bob,31,2016,8000000,17382693,Family
A Street Cat Named Bob,31,2016,8000000,17382693,Comedy
A Thousand Words,1,2012,40000000,20790486,Drama
A Thousand Words,1,2012,40000000,20790486,Comedy
A True Story,27,2013,45000,0,Comedy
A Walk Among the Tombstones,67,2014,28000000,62108587,Crime
A Walk Among the Tombstones,67,2014,28000000,62108587,Drama
A Walk Among the Tombstones,67,2014,28000000,62108587,Mystery
A Walk Among the Tombstones,67,2014,28000000,62108587,Thriller
A Walk in the Woods,75,2015,8000000,37119358,Adventure
A Walk in the Woods,75,2015,8000000,37119358,Comedy
A Walk in the Woods,75,2015,8000000,37119358,Drama
A Wrinkle in Time,58,2018,103000000,133401882,Adventure
A Wrinkle in Time,58,2018,103000000,133401882,Science Fiction
A Wrinkle in Time,58,2018,103000000,133401882,Family
A Wrinkle in Time,58,2018,103000000,133401882,Fantasy
AWOL-72,65,2015,3000000,0,Thriller
Abduction,96,2011,35000000,86648359,Thriller
Abduction,96,2011,35000000,86648359,Action
Abduction,96,2011,35000000,86648359,Mystery
