index,id,release_date,production_budget,worldwide_gross,genre_ids
#Horror,16,2015,1500000,0,"[18, 9648, 27, 53]"
(500) Days of Summer,55,2009,7500000,34439060,
10 Cloverfield Lane,54,2016,5000000,108286422,"[53, 878, 18]"
10 Days in a Madhouse,48,2015,12000000,14616,[18]
10 Things I Hate About You,63,1999,13000000,60413950,
"10,000 B.C.",51,2008,105000000,269065678,
102 Dalmatians,6,2000,85000000,66941559,
10th & Wolf,32,2006,8000000,143782,
11:14,90,2005,6000000,0,
12 Angry Men,36,1957,340000,0,
12 Monkeys,18,1995,29000000,168841459,
12 Rounds,37,2009,20000000,17306648,
12 Strong,64,2018,35000000,71118378,"[10752, 18, 36, 28]"
12 Years a Slave,18,2013,20000000,181025343,"[18, 36]"
127 Hours,6,2010,18000000,60217171,"[12, 18, 53]"
13 Going On 30,96,2004,37000000,97658712,
13 Hours: The Secret Soldiers of Benghazi,30,2016,50000000,69411370,"[28, 18, 36, 53, 10752]"
13 Sins,51,2014,4000000,47552,"[27, 53]"
1408,2,2007,22500000,131263370,
15 Minutes,60,2001,42000000,56331864,
16 Blocks,93,2006,45000000,65595141,
16 to Life,90,2010,1000000,11574,
1612,49,2009,12000000,5400624,
17 Again,20,2009,40000000,139474906,
1776,59,1972,4000000,0,
1941,4,1979,32000000,94875000,[35]
1982,23,2016,1000000,0,[18]
2 Fast 2 Furious,23,2003,76000000,236410607,
2 For the Money,86,2005,20000000,30491379,
2 Guns,39,2013,61000000,132493015,"[28, 35, 80]"
20 Dates,9,1999,66000,602920,
20 Feet From Stardom,37,2013,1000000,5892466,
"20,000 Leagues Under the Sea",71,1954,5000000,28200000,
"20,000 Leagues Under the Sea",15,1916,200000,8000000,
200 Cigarettes,51,1999,6000000,6852450,
2001: A Space Odyssey,27,1968,10500000,71928046,"[878, 9648, 12]"
2012,59,2009,200000000,757677748,[99]
2016: Obamaâs America,13,2012,2500000,33349941,
2046,31,2005,12000000,19287485,
21,39,2008,35000000,159846429,
21 Grams,13,2003,20000000,59667625,
21 Jump Street,44,2012,42000000,202812429,"[28, 35, 80]"
21 and Over,70,2013,13000000,42195766,
22 Jump Street,85,2014,50000000,331333876,"[80, 35, 28]"
23 Blast,64,2014,1000000,549185,[18]
24 7: Twenty Four Seven,56,1998,2000000,72544,
25th Hour,29,2002,4500000,25344490,
27 Dresses,63,2008,30000000,160247805,
28 Days,37,2000,43000000,62063972,
28 Days Laterâ¦,69,2003,8000000,82955633,
28 Weeks Later,54,2007,15000000,64232714,
2:13,28,2011,3500000,0,
3,85,2011,7200000,295492,"[27, 9648, 53]"
3 Backyards,51,2011,300000,39475,[18]
3 Days to Kill,64,2014,28000000,38959900,"[28, 18, 53, 80]"
3 Men and a Baby,96,1987,15000000,167780960,
